INDEX,FLIGHTDATE,FLIGHTNO,DEST,DEST_STATION,DESTOBSERVATIONTIME,STATION,DATE,REPORT_TYPE,DEST_UA_OBS,VIS_METERS
26,20180105,1257,ANC,70273026451,2018-01-06 08:53:00+00:00,70273026451,2018-01-06 08:53:00+00:00,FM-15,MET12301/05/18 23:53:02 METAR PANC 060853Z 03004KT 10SM OVC110 M07/M09 A2946 RMK AO2 SLP980 I1000 I3000 T10721094 410561106 53004,16093
19,20180105,1147,LAX,72295023174,2018-01-06 12:04:00+00:00,72295023174,2018-01-06 12:04:00+00:00,FM-16,MET11101/06/18 04:04:02 SPECI KLAX 061204Z 26004KT 1/4SM R25L/1200V1600FT FG VV002 14/14 A3012 RMK AO2 T01390139 (RA),402
23,20180105,1281,LAX,72295023174,2018-01-06 13:04:00+00:00,72295023174,2018-01-06 13:04:00+00:00,FM-16,MET11101/06/18 05:04:02 SPECI KLAX 061304Z 26010KT 1/4SM R25L/1600V2800FT FG VV002 14/14 A3013 RMK AO2 T01440144 (RA),402
18,20180105,1292,LAX,72295023174,2018-01-06 13:04:00+00:00,72295023174,2018-01-06 13:04:00+00:00,FM-16,MET11101/06/18 05:04:02 SPECI KLAX 061304Z 26010KT 1/4SM R25L/1600V2800FT FG VV002 14/14 A3013 RMK AO2 T01440144 (RA),402
21,20180105,1706,LAX,72295023174,2018-01-06 13:04:00+00:00,72295023174,2018-01-06 13:04:00+00:00,FM-16,MET11101/06/18 05:04:02 SPECI KLAX 061304Z 26010KT 1/4SM R25L/1600V2800FT FG VV002 14/14 A3013 RMK AO2 T01440144 (RA),402
13,20180105,534,LAX,72295023174,2018-01-06 13:04:00+00:00,72295023174,2018-01-06 13:04:00+00:00,FM-16,MET11101/06/18 05:04:02 SPECI KLAX 061304Z 26010KT 1/4SM R25L/1600V2800FT FG VV002 14/14 A3013 RMK AO2 T01440144 (RA),402
24,20180105,1110,LAX,72295023174,2018-01-06 14:53:00+00:00,72295023174,2018-01-06 14:53:00+00:00,FM-15,MET12501/06/18 06:53:02 METAR KLAX 061453Z 33004KT 1/4SM R25L/3500VP6000FT FG VV002 14/14 A3014 RMK AO2 SLP206 T01440144 51010 (RD),402
28,20180106,840,LAX,72295023174,2018-01-06 14:53:00+00:00,72295023174,2018-01-06 14:53:00+00:00,FM-15,MET12501/06/18 06:53:02 METAR KLAX 061453Z 33004KT 1/4SM R25L/3500VP6000FT FG VV002 14/14 A3014 RMK AO2 SLP206 T01440144 51010 (RD),402
29,20180106,99,LAX,72295023174,2018-01-06 14:53:00+00:00,72295023174,2018-01-06 14:53:00+00:00,FM-15,MET12501/06/18 06:53:02 METAR KLAX 061453Z 33004KT 1/4SM R25L/3500VP6000FT FG VV002 14/14 A3014 RMK AO2 SLP206 T01440144 51010 (RD),402
30,20180106,582,LAX,72295023174,2018-01-06 14:53:00+00:00,72295023174,2018-01-06 14:53:00+00:00,FM-15,MET12501/06/18 06:53:02 METAR KLAX 061453Z 33004KT 1/4SM R25L/3500VP6000FT FG VV002 14/14 A3014 RMK AO2 SLP206 T01440144 51010 (RD),402
31,20180106,30,MUC,10866099999,2018-01-07 06:20:00+00:00,10866099999,2018-01-07 06:20:00+00:00,FM-15,MET082METAR EDDM 070620Z 05005KT 0300 R08L/0800N R08R/0800N FG OVC001 01/01 Q1015 NOSIG=,300
32,20180106,106,MUC,10866099999,2018-01-07 06:20:00+00:00,10866099999,2018-01-07 06:20:00+00:00,FM-15,MET082METAR EDDM 070620Z 05005KT 0300 R08L/0800N R08R/0800N FG OVC001 01/01 Q1015 NOSIG=,300
